run_sha,run_no,topology,injection_rate,latency_cycles,hops_avg,energy_proxy,area_mm2,traffic,status,source_file
3e5f976,0,tree16,0.03,,,,,matrix(traffic_matrix.txt),no_output,topology_sweep.json
local,1,cmesh16,0.002,14.8558,1.6093,205.9904,,history,ok,history.json
local,1,cmesh16,0.005,15.141,1.63248,208.95744,,history,ok,history.json
local,1,cmesh16,0.01,16.0293,1.64169,210.13632,,history,ok,history.json
local,1,cmesh16,0.02,17.5764,1.59156,203.71968,,history,ok,history.json
local,1,cmesh16,0.03,268.425,1.65341,211.63648,,history,ok,history.json
local,1,fattree16,0.002,14.8279,1.74419,223.25632,,history,ok,history.json
local,1,fattree16,0.005,15.1325,1.7265,220.992,,history,ok,history.json
local,1,fattree16,0.01,16.0277,1.77524,227.23072,,history,ok,history.json
local,1,fattree16,0.02,17.8217,1.76433,225.83424,,history,ok,history.json
local,1,fattree16,0.03,175.011,1.76224,225.56672,,history,ok,history.json
local,1,flatfly16,0.002,17.6419,2.02326,258.97728,,history,ok,history.json
local,1,flatfly16,0.005,18.2575,2.07463,265.55264,,history,ok,history.json
local,1,flatfly16,0.01,19.1156,2.08632,267.04896,,history,ok,history.json
local,1,flatfly16,0.02,20.926,2.07245,265.2736,,history,ok,history.json
local,1,flatfly16,0.03,165.645,2.10083,268.90624,,history,ok,history.json
local,1,fly4,0.002,16.2186,2.0,256.0,,history,ok,history.json
local,1,fly4,0.005,16.4744,2.0,256.0,,history,ok,history.json
local,1,fly4,0.01,17.0945,2.0,256.0,,history,ok,history.json
local,1,fly4,0.02,20.004,2.0,256.0,,history,ok,history.json
local,1,fly4,0.03,292.534,2.0,256.0,,history,ok,history.json
local,1,mesh4x4,0.002,20.0326,2.7814,356.0192,,history,ok,history.json
local,1,mesh4x4,0.005,20.7332,2.88619,369.43232,,history,ok,history.json
local,1,mesh4x4,0.01,21.8697,2.92345,374.2016,,history,ok,history.json
local,1,mesh4x4,0.02,23.1712,2.83997,363.51616,,history,ok,history.json
local,1,mesh4x4,0.03,163.962,2.95006,377.60768,,history,ok,history.json
local,1,torus4x4,0.002,18.3581,2.21395,283.3856,,history,ok,history.json
local,1,torus4x4,0.005,18.9963,2.2556,288.7168,,history,ok,history.json
local,1,torus4x4,0.01,19.4202,2.24919,287.89632,,history,ok,history.json
local,1,torus4x4,0.02,21.1919,2.26194,289.52832,,history,ok,history.json
local,1,torus4x4,0.03,183.03,2.2727,290.9056,,history,ok,history.json
